ComDown (comment downloader)
 comments
 CTaCRxXIMga
 {\"bifilter_token\": \"KDcBAgDIAP________________________________8AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==\", \"tao_cursor\": \"QVFDMWNaTGRhWnBXREJlcVlVOG5GdUNQRFFISDZKSWxKSzJ3XzFEcUhZS1ZJUnBTRGllMUhxS2VwTVRGVjkxUWRRbVhyMEFYZGc5UU1ua0ZOemxDOEJ0Tw==\"}
 https://instagram.fevn1-1.fna.fbcdn.net/v/t51.2885-15/e35/241182299_551932516141118_5133750298734709642_n.jpg?_nc_ht=instagram.fevn1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=F9aSA65HMVQAX-1G2BX&edm=AABBvjUBAAAA&ccb=7-4&oh=1677ff19ce09dfe93d40e151ebd1a446&oe=6138890C&_nc_sid=83d603
 Username,Comment Text,Number of likes,Number of replys ,Date created
 hana._2291,@mehran.babaeian1369,1,0,1630791224
 hana._2291,@mortza.1639,1,1,1630791293
 hana._2291,بسه یا بازم بذارم😁😁😁,1,1,1630791875
 hana._2291,@mn6587nm3,1,1,1630791981
 hana._2291,@fateme.m.133,1,0,1630792097
 kharazi_zomorod,@caramel_cake_house1,1,0,1630792385
 alireza_mirahmadi97,@ali_.j.1278,1,0,1630792421
 alireza_mirahmadi97,@13.kalantar.73,1,0,1630792519
 alireza_mirahmadi97,@abolfazl.__22,1,0,1630792524
 alireza_mirahmadi97,@mohamad.ali_1368,1,1,1630792663
 alireza_mirahmadi97,@kourosh.8789,1,0,1630792803
 alireza_mirahmadi97,@setarehnikkhah111,1,0,1630792892
 alireza_mirahmadi97,@king0ali8,1,0,1630792913
 alireza_mirahmadi97,@mankian1368,1,0,1630792925
 hana._2291,@fateme.m.133,1,0,1630794211
 hana._2291,@mortza.1639,1,1,1630794212
 hana._2291,@amene155,1,0,1630794381
 fatemeh.soltani.m,@simenshams783,1,0,1630810150
 fatemeh.soltani.m,@asmoon_47,1,0,1630810158
 fatemeh.soltani.m,@zohre_t.686995,1,0,1630810171
 fatemeh.soltani.m,@fariba_s68734,1,0,1630810211
 fatemeh.soltani.m,@h.ch62m,1,0,1630810226
 fatemeh.soltani.m,@miss.karbalaee18,1,0,1630810267
 fatemeh.soltani.m,@fr.shth7010,1,0,1630810309
 fatemeh.soltani.m,@daneal1036,1,0,1630810335
 hg.6745,@sajede.9889,0,0,1630813398
 hg.6745,@x_fwtm.zwhr_x,1,0,1630813845
 hg.6745,@ll._nwzi._ll,1,0,1630815088
 hg.6745,@k.kkkkk9436,1,0,1630815130
 zohre_t.686995,@1374anisa,1,0,1630815187
 zohre_t.686995,@maryam.j_69,1,0,1630815193
 zohre_t.686995,@miss_r_79_,1,0,1630815313
 zohre_t.686995,@mahya_2019899,1,0,1630815329
 zohre_t.686995,@daryasar11,1,0,1630815378
 zohre_t.686995,👏👏😍😍😍,1,0,1630815389
 zohre_t.686995,🙌❤️🔥👏😍,1,0,1630815392
 zohre_t.686995,❤️❤️,1,0,1630815397
 zohre_t.686995,@daryadel8291,1,0,1630815423
 banoo_s.64,@ostad775,1,1,1630817287
 banoo_s.64,@mahkom_.b._sokot,1,0,1630817393
 banoo_s.64,@mojtaba6803,1,0,1630817420
 banoo_s.64,@baran1beauty,1,0,1630817489
 banoo_s.64,@maryam_esmaeili9090,1,0,1630817524
 banoo_s.64,@korosh2030,1,0,1630817860
 banoo_s.64,@hamid.mohamadi8138,1,0,1630817873
 hg.6745,@hhh.soha.hhh,1,0,1630818103
 mrbh217,@assgary2323,1,0,1630820405
 naz.aninzahra99,@elaheh_arman,1,0,1630822336
 maryam_a.v71,@sun_girl_99g,1,0,1630822388
 maryam_a.v71,@shokoufeh.language_institute,1,0,1630822487
 naz.aninzahra99,@tanha61857,1,0,1630822680
 naz.aninzahra99,@yald_a6148,1,0,1630822836
 nafas._.7789,@ne.gin6294,1,0,1630822932
 mahdisbootiik,@attari_hana025,0,0,1630822987
 naz.aninzahra99,@mr.ahmadhabibollahi,1,0,1630823048
 nafas._.7789,@nahid_manhoei,1,0,1630823125
 maryam_a.v71,@teacheryar,1,0,1630823136
 nafas._.7789,@175neda,1,0,1630823461
 13_ahoo_79,@hg.6745,1,0,1630823519
 13_ahoo_79,@fariba_a_98,1,0,1630823582
 13_ahoo_79,@floristangels,1,0,1630823660
 13_ahoo_79,@slm_mhyr,1,0,1630823727
 mrbh217,@dary_a1225,1,0,1630824074
 fatemeh.ghasemi.sep,@raheme0577,1,0,1630824509
 fatemeh.ghasemi.sep,@zohre_h_n,1,0,1630824733
 mahdisbootiik,@khoda.ast1,1,0,1630826110
 mrbh217,@a.s.slmani,1,0,1630826538
 mrbh217,@mrddy.bnwy,1,0,1630826694
 mrbh217,@zoha.jafary,1,0,1630826712
 mrbh217,@zdh.zynbhjy,2,0,1630826720
 mrbh217,@mahsa___dehghani,1,0,1630826737
 mrbh217,@dhwlfqry3547,1,0,1630826752
 mrbh217,@frydh907,1,0,1630826798
 mrbh217,@tasty.art,1,0,1630826812
 mrbh217,@dehghan_nasiry,1,0,1630826846
 mrbh217,@t.jameei.nodooshan,1,0,1630826869
 mrbh217,@1364.shekari,1,0,1630826897
 mrbh217,@_bedone_taarof_,1,0,1630826908
 mrbh217,@hana._2291,1,0,1630826923
 mrbh217,@0ه,1,0,1630826942
 mrbh217,@mohamad.sh.s1990,1,0,1630826967
 mrbh217,@mhsnkhdmy6,1,0,1630826983
 mrbh217,@asiehjafarin,1,0,1630827025
 mrbh217,@5884khd,1,0,1630827034
 mrbh217,@khodami_nodoushan,1,0,1630827053
 mrbh217,@mojgan_khodami_n,1,0,1630827065
 mrbh217,@khdmy6511,1,0,1630827073
 mrbh217,@mhsnnjmayy,1,0,1630827088
 mrbh217,@khanoum_jafari58,1,0,1630827115
 mrbh217,@ftmhjfry2,1,0,1630827153
 mrbh217,@aj1227956,1,0,1630827211
 mrbh217,@studio_chehrenema,1,0,1630827227
 mrbh217,@cheap.mezon,1,0,1630827246
 mrbh217,@dinaa0099,1,0,1630827262
 mrbh217,@chshmntzrsrnwsht,1,0,1630827285
 mrbh217,@elhamnikoo,1,0,1630827299
 mrbh217,@zyzh4091,1,0,1630827347
 mrbh217,@smyhbdynyndwshn,1,0,1630827360
 mrbh217,@bdyny8474,1,0,1630827380
 mrbh217,@jamal_cheragh,1,0,1630827407
 mrbh217,@m.j.n.1377,1,0,1630827471
 mrbh217,‌@fatemeh541234,1,0,1630827480
 mrbh217,@mkzj36,1,0,1630827519
 mrbh217,@i.0960,1,0,1630827543
 mrbh217,@jfry.hkhymh,1,0,1630827557
 mrbh217,@m.s.m.9216,1,0,1630827580
 mrbh217,@jafarynodooshan,1,0,1630827600
 mrbh217,@daisiiaeash,1,0,1630827614
 mrbh217,@swgnd1361,1,0,1630827674
 mrbh217,@smnh3053,1,0,1630827712
 mrbh217,@jjjjj5094,1,0,1630827726
 mrbh217,@atefe035,1,0,1630827739
 mrbh217,@sajadjafari03,1,0,1630827749
 mrbh217,@mhmdysyma02,1,0,1630827772
 mrbh217,@milad___1221_,1,0,1630827792
 mrbh217,@fatemeh541234,1,0,1630827806
 mrbh217,@abedini8131,1,0,1630827831
 mrbh217,@f.ka.sh1234,1,0,1630827848
 mrbh217,@asal._1381,1,0,1630827864
 mrbh217,@9354hossein,1,0,1630827894
 mrbh217,@t.s.n1352,1,0,1630827905
 mrbh217,@jfry397,1,0,1630827921
 mrbh217,@kianiroghaye13,1,0,1630827956
 mrbh217,@fatemeh_kabiriiii,1,0,1630827999
 mrbh217,@ashpazi.saeede,1,0,1630828021
 mrbh217,@jafarirsza,1,0,1630828072
 mrbh217,@el.ahe777,1,0,1630828147
 mrbh217,@m.13.j.73,1,0,1630828170
